"","GEOID","NAME","totalpop","white.count","black.count","asian.count","latinx.count","poverty.count","medincome","poverty.pct","white.pct","black.pct","popcat","total.tax","govid","itemcode","amount.thousands","survey.year","year.of.data","origin","description","sales.tax.pct","share.held.by.1pct","state.sales.rate","avg.local.rate","Combined.Rate","max.local.rate","state.region","state.area","presidential_year","abb","population_2020","fips","mrp_ideology_se","mrp_ideology","irt_ideology_unweighted","self_ideology","self_ideology_se","irt_ideology_unweighted_sd","irt_ideology_unweighted_se","sample_size","survey_period","demshare_pres","taxpercap","salestaxpercap"
"12","15","Hawaii",1422094,312722,24377,524609,149118,130649,81275,9.18708608572992,21.9902481833128,1.71416235494981,1,8207524,"12000000000000","T09",3808718,19,19,24,"Tax - General Sales",46.4052008864062,12.2,4,0.41,4.41,0.5,"West",6450,2016,"HI",1455271,15,0.0480338025250019,-0.0689323356335806,-0.153379484515048,2.91736930860034,0.0401737456800586,0.892987772183281,0.034972100213701,652,"2012-2016",0.674413374505355,5.77143564349473,2.67824630439338
"13","16","Idaho",1717750,1407883,11316,23061,215476,221256,55785,12.8805705137535,81.9608790569058,0.658768738174938,1,4902173,"13000000000000","T09",1908887,19,19,24,"Tax - General Sales",38.939609026446,14.9,6,0.03,6.03,3,"West",83557,2016,"ID",1839106,16,0.0434833477286942,0.323370081896858,0.315155809250525,3.3816029143898,0.031929438962311,0.991746125385376,0.0287251552588503,1192,"2012-2016",0.316898233191944,2.85383379420754,1.11127172172901
"14","17","Illinois",12770631,7829850,1783708,692370,2186387,1557873,65886,12.1988725537524,61.3113792106279,13.9672659870918,3,45453840,"14000000000000","T09",12013541,19,19,24,"Tax - General Sales",26.4302003967102,21.5,6.25,2.49,8.74,4.75,"North Central",56400,2016,"IL",12812508,17,0.0338721652358732,-0.045586886410887,-0.0762111313079401,2.95948603644946,0.0122911054198434,0.914106133580396,0.0100324096791971,8302,"2012-2016",0.590200513907115,3.55924777718501,0.94071632012545
"15","18","Indiana",6665703,5271071,616545,150840,461850,867996,56303,13.0218223044141,79.0774956519965,9.24951201696205,2,22968677,"15000000000000","T09",8087116,19,19,24,"Tax - General Sales",35.2093244203835,14.9,7,0,7,0,"North Central",36291,2016,"IN",6785528,18,0.0351755587209185,0.151862120074241,0.109394425070726,3.16419057377049,0.0172075911981591,0.92595812812025,0.0140441845648,4347,"2012-2016",0.398826904754919,3.44579964033801,1.21324277424302
"16","19","Iowa",3139508,2690052,113560,75326,188311,348122,60523,11.0884253201457,85.6838714855958,3.61712726962314,1,10583869,"16000000000000","T09",3404630,19,19,24,"Tax - General Sales",32.1681041214701,12.9,6,0.82,6.82,1,"North Central",56290,2016,"IA",3190369,19,0.0379217966030216,0.118570375314519,0.0679686925283112,3.11490384615385,0.0235784484875021,0.967296537073502,0.0204515694332196,2237,"2012-2016",0.449364521548797,3.37118714142471,1.08444698978311
"17","20","Kansas",2910652,2208576,164509,84850,345680,337739,59597,11.6035513692465,75.8790813879502,5.65196388987759,1,10030158,"17000000000000","T09",3334645,19,19,24,"Tax - General Sales",33.2461861518034,15.6,6.5,2.17,8.67,4,"North Central",82264,2016,"KS",2937880,20,0.0391109028000768,0.122377870729724,0.127103946123026,3.21280087527352,0.0238745882373504,0.965340595679665,0.0215265550815349,2011,"2012-2016",0.388885296573933,3.44601759330899,1.1456694238954
"18","21","Kentucky",4449052,3761855,353997,64764,162994,747010,50589,16.7903184768351,84.5540802849686,7.95668380589843,1,13049436,"18000000000000","T09",3984753,19,19,24,"Tax - General Sales",30.5358254563646,15.7,6,0,6,0,"South",40395,2016,"KY",4505836,21,0.0366203118606505,0.217480184618019,0.187619321322576,3.21739130434783,0.0202119930389311,0.903560064482304,0.0165797815101709,2970,"2012-2016",0.343293709824901,2.93308237350339,0.895640914064389
"19","22","Louisiana",4664362,2735887,1492386,80014,239164,871467,49469,18.6835198468729,58.6551172486184,31.9955012068103,1,11870499,"19000000000000","T09",3739549,19,19,24,"Tax - General Sales",31.5028795335394,15.4,4.45,5,9.45,7,"South",48523,2016,"LA",4657757,22,0.0400620121750829,0.2438757374125,0.250550206935698,3.3398288973384,0.0229264775385551,0.908552860199134,0.0188425085627133,2325,"2012-2016",0.398283227621922,2.54493519156532,0.801727867605473
"20","23","Maine",1335492,1244531,17368,14946,22100,153131,57918,11.4662611232415,93.1889520865718,1.30049449940546,1,4674441,"20000000000000","T09",1613210,19,19,24,"Tax - General Sales",34.5112923662958,13.5,5.5,0,5.5,0,"Northeast",33215,2016,"ME",1362359,23,0.0437737031109892,0.00279442363549305,0.0178665369019614,3.02935943060498,0.0328048975079041,0.944981416229613,0.0270215364430128,1223,"2012-2016",0.515967911291625,3.50016398450908,1.20795182599372
"21","24","Maryland",6018848,3062363,1768596,375951,606482,539991,84805,8.9716670033867,50.8795536953251,29.3842941373499,2,23605971,"21000000000000","T09",4888693,19,19,24,"Tax - General Sales",20.7095611529812,15.3,6,0,6,0,"South",10577,2016,"MD",6177224,24,0.0376581469331416,-0.105878817298834,-0.138155286950478,2.9136608917921,0.0176333687205908,0.908720697773388,0.0147686267693134,3786,"2012-2016",0.640109955085652,3.92200816501762,0.81223067935924
"22","25","Massachusetts",6850553,4903539,473181,449793,809179,680962,81215,9.94024861934504,71.5787324030629,6.90719420753332,2,31806339,"22000000000000","T09",6834003,19,19,24,"Tax - General Sales",21.4862924022787,23.8,6.25,0,6.25,0,"Northeast",8257,2016,"MA",7029917,25,0.0347126594580192,-0.216062196817545,-0.225962717029475,2.81065675340768,0.0159027097188097,0.907570122751584,0.0137180353339222,4377,"2012-2016",0.646512786896295,4.64288634800723,0.997584136638312
"23","26","Michigan",9965265,7477400,1358034,310420,507353,1398527,57144,14.0340171586004,75.0346327970204,13.6276757316539,2,30270130,"23000000000000","T09",9613796,19,19,24,"Tax - General Sales",31.7600089593272,17.8,6,0,6,0,"North Central",58216,2016,"MI",10077331,26,0.0338070248274074,0.0670368013951531,0.0354021410271249,3.0446791226645,0.0133319536666893,0.91041949383694,0.0110339693867918,6808,"2012-2016",0.498823317830385,3.03756397847925,0.964730591710306
"24","27","Minnesota",5563378,4442126,349808,266436,299556,526065,71306,9.45585577683199,79.8458418608263,6.28769068001491,2,28175795,"24000000000000","T09",6205621,19,19,24,"Tax - General Sales",22.0246527205355,17.4,6.88,0.55,7.43,2,"North Central",84068,2016,"MN",5706494,27,0.0351720886985363,0.00803974261487002,-0.0164751368472295,3.00676470588235,0.0196837580461577,1.02051973360948,0.0168917628194025,3650,"2012-2016",0.508316937071805,5.0645120644328,1.11544119418095
"25","28","Mississippi",2984418,1689927,1121516,29466,91202,585786,45081,19.6281486038484,56.6250103035165,37.5790522641265,1,8288883,"25000000000000","T09",3731772,19,19,24,"Tax - General Sales",45.021410001806,14.2,7,0.07,7.07,1,"South",47716,2016,"MS",2961279,28,0.0458903343392076,0.263321583562631,0.265564051607163,3.33718244803695,0.0305497706141211,0.896512218085004,0.0237076329093569,1430,"2012-2016",0.409101526759399,2.77738674676269,1.25041867459585
"26","29","Missouri",6104910,4849901,696379,119481,254791,810045,55461,13.2687459765992,79.4426289658652,11.4068675869096,2,13181385,"26000000000000","T09",3732101,19,19,24,"Tax - General Sales",28.313420782414,17.6,4.23,3.9,8.13,5.45,"North Central",69686,2016,"MO",6154913,29,0.0344060860840691,0.172248626243355,0.136520733413726,3.18588294398392,0.0168936299463429,0.952958352853818,0.0144437375174971,4353,"2012-2016",0.401814390044339,2.15914485225826,0.611327767321713
