GEOID,NAME,totworkers.all,totworkers.16.19,totworkers.20.24,totworkers.25.44,totworkers.45.54,totworkers.55.59,totworkers.60.64,totworkers.65plus,pubtr.all,pubtr.16.19,pubtr.20.24,pubtr.25.44,pubtr.45.54,pubtr.55.59,pubtr.60.64,pubtr.65plus,county.name
36085005902,"Census Tract 59.02, Richmond County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Richmond
36085006400,"Census Tract 64, Richmond County, New York",1357,40,168,521,289,99,115,125,624,40,107,256,110,37,43,31,Richmond
36085006700,"Census Tract 67, Richmond County, New York",1396,14,42,730,295,53,96,166,331,0,0,127,107,16,44,37,Richmond
36085007001,"Census Tract 70.01, Richmond County, New York",1374,5,121,556,265,102,220,105,113,0,16,40,26,31,0,0,Richmond
36085007002,"Census Tract 70.02, Richmond County, New York",2887,220,170,1270,769,140,182,136,791,0,38,494,204,26,29,0,Richmond
36085007400,"Census Tract 74, Richmond County, New York",1929,0,106,926,290,460,75,72,865,0,41,378,39,308,56,43,Richmond
36085007500,"Census Tract 75, Richmond County, New York",1629,113,218,787,279,110,64,58,592,75,115,275,65,35,8,19,Richmond
36085007700,"Census Tract 77, Richmond County, New York",654,29,48,371,68,35,46,57,195,15,25,114,6,23,0,12,Richmond
36085008100,"Census Tract 81, Richmond County, New York",1587,74,87,548,367,150,230,131,720,42,37,280,100,49,156,56,Richmond
36085009601,"Census Tract 96.01, Richmond County, New York",2067,15,136,1055,414,162,142,143,911,0,40,565,110,94,49,53,Richmond
36085009602,"Census Tract 96.02, Richmond County, New York",1616,63,108,769,327,164,109,76,605,0,57,355,129,34,30,0,Richmond
36085009701,"Census Tract 97.01, Richmond County, New York",2015,54,108,890,604,145,140,74,483,15,52,169,187,20,21,19,Richmond
36085009702,"Census Tract 97.02, Richmond County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Richmond
36085010500,"Census Tract 105, Richmond County, New York",1932,21,216,779,449,222,154,91,743,21,131,273,214,58,20,26,Richmond
36085011201,"Census Tract 112.01, Richmond County, New York",2725,53,173,1406,626,291,91,85,547,0,32,263,109,102,31,10,Richmond
36085011203,"Census Tract 112.03, Richmond County, New York",2485,94,178,1165,485,409,95,59,869,4,40,478,137,144,31,35,Richmond
36085011204,"Census Tract 112.04, Richmond County, New York",102,18,0,55,0,29,0,0,0,0,0,0,0,0,0,0,Richmond
36085011401,"Census Tract 114.01, Richmond County, New York",1199,39,38,689,238,30,121,44,551,39,21,279,90,6,94,22,Richmond
36085011402,"Census Tract 114.02, Richmond County, New York",1479,8,72,625,440,139,137,58,441,0,33,186,152,18,42,10,Richmond
36085012100,"Census Tract 121, Richmond County, New York",1566,30,56,404,530,267,161,118,208,0,26,36,128,0,18,0,Richmond
36085012200,"Census Tract 122, Richmond County, New York",1749,54,102,660,505,207,117,104,381,0,0,102,126,59,41,53,Richmond
36085012500,"Census Tract 125, Richmond County, New York",1544,49,197,692,279,164,159,4,486,27,73,175,149,44,18,0,Richmond
36085012804,"Census Tract 128.04, Richmond County, New York",1902,0,188,999,229,253,173,60,533,0,59,226,105,72,65,6,Richmond
36085012805,"Census Tract 128.05, Richmond County, New York",1193,23,80,434,359,129,98,70,458,0,24,182,182,15,43,12,Richmond
36085012806,"Census Tract 128.06, Richmond County, New York",2508,65,307,758,897,186,171,124,803,0,119,144,398,49,20,73,Richmond
36085013201,"Census Tract 132.01, Richmond County, New York",630,0,33,297,194,50,32,24,147,0,0,76,37,20,14,0,Richmond
