elecyear,dem,rep,inc.dem,as.factor(pres),chng.lnrdipc.all,fatalities,timeforchange,chng.lnrdipc.last,pres,chng.lnrdipc.early,inc.voteshare
1948,52.31853636,47.68146364,1,NA,NA,NA,NA,NA,NA,NA,52.31853636
1952,44.70981131,55.29018869,1,NA,NA,NA,NA,NA,NA,NA,44.70981131
1956,42.90575183,57.09424817,0,NA,NA,NA,NA,NA,NA,NA,57.09424817
1960,50.08740064,49.91259936,0,Eisenhower,NA,0,2,-0.1400000228667153,NA,NA,49.91259936
1964,61.20333648,38.79666352,1,Kennedy/Johnson,3.7150718759471957,1,1,5.6828683024123805,Kennedy/Johnson,3.059139733792134,61.20333648
1968,49.42470457,50.57529543,1,Johnson,3.6462122138666953,146,2,3.3928542905460546,Johnson,3.7306648549735755,49.42470457
1972,38.20844,61.79156,0,Nixon,3.9012450862513592,0,1,6.34676661360789,Nixon,3.086071243799182,61.79156
1976,51.04913922,48.95086078,0,Nixon/Ford,0.8845941182453743,2,2,2.2252878901538153,Nixon/Ford,0.4376961942758939,48.95086078
1980,44.84244123,55.15755877,1,Carter,1.5495627377599241,0,1,0.7856161573370102,Carter,1.8042115979008955,44.84244123
1984,40.87664881,59.12335119,0,Reagan 1,2.777595500102148,0,1,4.736479099648072,Reagan 1,2.1246343002535064,59.12335119
1988,46.16754471,53.83245529,0,Reagan 2,2.4348278068011098,0,2,3.8129259827783812,Reagan 2,1.9754617481420194,53.83245529
1992,53.62125024,46.37874976,0,Bush,1.0139614724873791,0,3,2.374449083574781,Bush,0.5604656021249118,46.37874976
1996,54.73641015,45.26358985,1,Clinton 1,1.5015832648268113,0,1,1.9308992782697487,Clinton 1,1.3584779270124987,54.73641015
2000,50.26162358,49.73837642,1,Clinton 2,3.28254239547654,0,2,3.8481252940410826,Clinton 2,3.094014762621692,50.26162358
2004,48.76699772,51.23300228,0,GWB 1,1.9606000216459751,4,1,2.3590560603661714,GWB 1,1.8277813420725764,51.23300228
2008,53.68884371,46.31115629,0,GWB 2,0.951725715946683,14,2,0.736181271942904,GWB 2,1.0235738639479426,46.31115629
2012,52,48,1,Obama 1,1.2857923135256577,5,1,3.3696347301175322,Obama 1,0.5911781746616995,52
2016,51,49,1,Obama 2,0.8724097736867886,7.428988581052543,2,1.0662018848417887,Obama 2,0.8078124033017886,51
2020,52,48,0,Trump,3.0241689149897777,0,1,4.151662870986783,Trump,2.6483375963241094,48
2024,NA,NA,1,Biden,1.4925318299624735,0,1,3.4266250055100755,Biden,1.1701829673712065,NA
