GEOID,NAME,totalpop,white.count,black.count,asian.count,latinx.count,poverty.count,medincome,stabb
36011,"Cayuga County, New York",76644,68059,2961,565,2370,9705,59602,ny
36013,"Chautauqua County, New York",128042,110708,2904,831,10007,21254,50408,ny
36015,"Chemung County, New York",84456,72030,4887,1240,2831,11574,58175,ny
36017,"Chenango County, New York",47407,44626,283,255,1090,5674,55690,ny
36019,"Clinton County, New York",80095,71869,3108,1084,2375,9217,62470,ny
36021,"Columbia County, New York",61587,52242,2398,1191,3144,5791,73065,ny
36023,"Cortland County, New York",46984,42924,901,502,1349,5518,62163,ny
36025,"Delaware County, New York",44644,40722,719,386,1832,6549,52757,ny
36027,"Dutchess County, New York",296012,207056,29275,10204,38255,24677,87112,ny
36029,"Erie County, New York",949715,708186,117946,37131,54971,127528,62578,ny
36031,"Essex County, New York",37501,34210,1081,82,1182,3321,61563,ny
36033,"Franklin County, New York",47996,38922,2433,293,1712,7886,55279,ny
36035,"Fulton County, New York",53588,48536,754,390,1897,7730,55240,ny
36037,"Genesee County, New York",58387,52561,1190,425,2043,5977,63734,ny
36039,"Greene County, New York",48026,40254,2531,470,3061,4580,62810,ny
36041,"Hamilton County, New York",5068,4670,50,22,94,487,62841,ny
36043,"Herkimer County, New York",60596,56473,704,324,1435,7754,60561,ny
36045,"Jefferson County, New York",117634,95142,6486,1817,9094,14531,58271,ny
36047,"Kings County, New York",2712360,996334,776581,318686,509527,504813,67753,ny
36049,"Lewis County, New York",26681,25250,248,100,465,3147,60049,ny
36051,"Livingston County, New York",62253,55702,1615,669,2412,6504,64467,ny
36053,"Madison County, New York",68466,62817,1011,721,1613,5665,63312,ny
36055,"Monroe County, New York",757332,528359,105870,27566,69931,99940,66317,ny
36057,"Montgomery County, New York",49539,39342,1278,383,7383,8153,53533,ny
36059,"Nassau County, New York",1391678,811345,152775,145531,239038,74930,126576,ny
36061,"New York County, New York",1669127,779876,202584,197599,428057,252233,93956,ny
36063,"Niagara County, New York",212808,179857,14051,2203,7134,25990,60834,ny
36065,"Oneida County, New York",232034,188265,13252,9372,14438,31972,61733,ny
36067,"Onondaga County, New York",474621,360822,49061,18387,24689,62845,66012,ny
